artist,song,duration_ms,explicit,year,popularity,key,tempo,genre
Usher,U Don't Have to Call,269400,TRUE,2001,59,1,100.005,"hip hop, pop, R&B"
Creed,One Last Breath - Radio Version,242000,FALSE,2015,47,2,130.581,"pop, rock, metal"
The Goo Goo Dolls,Here Is Gone,238173,FALSE,2002,56,1,102.192,"pop, rock"
Puddle Of Mudd,She Hates Me,216760,TRUE,2001,70,4,109.781,"rock, metal"
Ludacris,Rollout (My Business),296586,TRUE,2001,60,7,131.059,"hip hop, pop"
Blazin' Squad,Crossroads - Radio Edit,188693,FALSE,2012,40,4,144.188,"hip hop, rock, R&B"
Default,Wasting My Time,268693,FALSE,2001,40,2,147.973,"rock, pop, metal"
Michelle Branch,All You Wanted,217680,FALSE,2001,60,8,96.103,"pop, Folk/Acoustic"
Daniel Bedingfield,If You're Not The One,257026,FALSE,2002,58,10,119.998,pop
Enrique Iglesias,Escape,208626,FALSE,2001,56,11,125.972,"pop, latin"
Puddle Of Mudd,Blurry,303920,FALSE,2001,64,3,157.469,"rock, metal"
Coldplay,In My Place,226680,FALSE,2002,72,9,144.636,"rock, pop"
Outkast,The Whole World (feat. Killer Mike),295346,TRUE,2001,51,2,184.682,"hip hop, pop"
P!nk,Don't Let Me Get Me - Radio Edit,210693,FALSE,2001,60,0,98.525,pop
50 Cent,In Da Club,193466,TRUE,2003,81,6,90.051,"hip hop, pop"
Sean Paul,Get Busy,211666,FALSE,2002,74,10,100.202,"hip hop, pop"
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,TRUE,2004,77,2,171.355,hip hop
Beyoncé,Crazy In Love (feat. Jay-Z),236133,FALSE,2003,76,2,99.165,"pop, R&B"
Counting Crows,Big Yellow Taxi,225426,FALSE,2003,50,8,88.029,"rock, pop"
Black Eyed Peas,Where Is The Love?,272533,FALSE,2003,68,5,94.059,"hip hop, pop"
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,187840,FALSE,2002,70,6,100,"hip hop, pop, R&B"
